Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord21-5-10-4.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 48289802.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord21-5-10-4.param, Compact : noch, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 48289802.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord23-5-6-5.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : minion, Options : SolverNodes, Time : 3432052.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord23-5-6-5.param, Compact : noch, Number : O0, Model : model_1.eprime, Solver : minion, Options : SolverNodes, Time : 3449839.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord24-5-7-5.param, Compact : noch, Number : O2, Model : model_3.eprime, Solver : lingeling, Options : SATVars, Time : 27515.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord27-5-10-5.param, Compact : noch, Number : O2, Model : model_3.eprime, Solver : lingeling, Options : SATVars, Time : 73134.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord28-3-6-6.param, Compact : noch, Number : O2, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 62228.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ord31-3-9-6.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATVars, Time : 61993.0, 
Problem : csplib-prob010, Essence : SocialGolfersProblem.essence, Parameters : ThomasKirkman.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.353, 
Problem : csplib-prob012, Essence : nonogram.essence, Parameters : 25x25-chris.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 5718.0, 
Problem : csplib-prob012, Essence : nonogram.essence, Parameters : 25x25-ianm.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 37161.0, 
Problem : csplib-prob012, Essence : nonogram.essence, Parameters : 40x40-cs-logo-param.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 25490.0, 
Problem : csplib-prob013, Essence : ProgressivePartyProblem.essence, Parameters : Ian10.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 62544.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian07-05.param, Compact : noch, Number : O2, Model : model_3.eprime, Solver : minion, Options : SolverNodes, Time : 16435322.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-07.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 120862.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-07.param, Compact : noch, Number : O0, Model : model_4.eprime, Solver : lingeling, Options : SATClauses, Time : 120895.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-09.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 146072.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-09.param, Compact : noch, Number : O0, Model : model_4.eprime, Solver : lingeling, Options : SATClauses, Time : 146131.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-11.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 171282.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian09-11.param, Compact : noch, Number : O0, Model : model_4.eprime, Solver : lingeling, Options : SATClauses, Time : 171367.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian10-04.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 47262.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian10-14.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 62213.0, 
Problem : csplib-prob013-decision, Essence : ProgressivePartyProblem.essence, Parameters : Ian10-14.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 47364.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 2-18.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 182538.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 3-14.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 39190.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 3-20.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 467131.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 4-12.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 145728.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 4-16.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 370076.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 4-17.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 118770.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 4-25.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 1295397.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 5-19.param, Compact : noch, Number : O0, Model : model_3.eprime, Solver : lingeling, Options : SATClauses, Time : 799319.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 6-15.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 565265.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 7-20.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 562995.0, 
Problem : csplib-prob015, Essence : SchursLemma.essence, Parameters : 7-20.param, Compact : noch, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 562995.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 03-05-14-UNSAT.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.335, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 03-05-14-UNSAT.param, Compact : compact, Number : O2, Model : model.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.355, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 03-05-14-UNSAT.param, Compact : noch, Number : O2, Model : model.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.327, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 03-06-14-SAT.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 3368.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-04-15-SAT.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 29348.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-04-16-SAT.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 38053.0, 
Problem : csplib-prob017, Essence : RamseyNumbers.essence, Parameters : 04-04-17-SAT.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 47504.0, 
